level,rep,comment
L0,0,"The portfolio was constructed using a near-equal weighting approach with slight overweights assigned to large-cap defensive and high-quality growth stocks such as AAPL, MSFT, JNJ, PG, WMT, KO, UNH, JPM, and V to reduce downside risk for a risk-averse investor. Cyclical and more volatile names like BA, DOW, and INTC received slightly lower weights to limit exposure to economic sensitivity. Broad diversification across sectors including technology, healthcare, consumer staples, financials, industrials, and energy ensures the portfolio is not overly concentrated in any single area."
L1,0,"The portfolio focuses on stocks with the highest expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, lower-correlation assets such as MRK, PG, WMT, and AMGN. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and weights were allocated to minimize overall portfolio variance by favoring assets with lower covariances relative to their return contribution. The resulting mix spans technology, healthcare, consumer staples, and financials to reduce sector concentration risk while targeting above-average returns."
L2,0,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short-selling and weights summing to one. Assets with higher risk-adjusted returns such as AAPL, MSFT, AMZN, and CRM received larger allocations, while defensive lower-volatility assets like MRK, PG, AMGN, UNH, and WMT were included to provide diversification and reduce overall portfolio risk. Stocks with negative or near-zero expected returns such as MMM, VZ, and INTC were excluded entirely as they offered no attractive risk-return tradeoff."
L3,0,"The portfolio was constructed by solving the constrained mean-variance quadratic program max_w mu^T w - (0.25) w^T Sigma w subject to non-negativity and full-investment constraints using numerical quadratic programming logic. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero weight, while high-return, relatively lower-risk assets (AAPL, MSFT, AMZN, CRM) received the largest allocations. Diversification was achieved by spreading remaining weight across AMGN, MRK, UNH, WMT, PG, V, and AXP, which offer moderate returns with low covariances relative to the high-return anchors."
L0,1,"The portfolio was constructed with a risk-averse approach by spreading weights across all 30 stocks to maximize diversification and minimize concentration risk. Higher weights were assigned to historically stable, large-cap companies with strong fundamentals such as AAPL, MSFT, JNJ, PG, and UNH, which tend to exhibit lower volatility and consistent dividends. Lower weights were assigned to more cyclical or volatile names such as BA, DOW, INTC, and MMM to reduce exposure to sector-specific downturns while maintaining broad market coverage."
L1,1,"The portfolio focuses on stocks with the highest expected returns (AAPL, MSFT, AMZN, CRM) while including defensive lower-volatility holdings (MRK, AMGN, PG, WMT) to reduce overall risk. Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with elevated covariances (BA, DOW) were also omitted. The resulting allocation balances growth-oriented positions with lower-correlation defensive names to achieve diversification and a favorable return-to-risk tradeoff for a risk-averse investor."
L2,1,"The portfolio was constructed using mean-variance optimization with lambda=0.5, balancing expected return against portfolio variance by maximizing the objective w'mu - 0.5*w'Sigma*w subject to no short selling and weights summing to one. Assets with negative or near-zero expected returns (MMM, VZ, INTC) received zero allocation, while high-return, relatively lower-risk assets like AAPL, MSFT, AMZN, and WMT received larger weights. Diversification was achieved by spreading allocations across growth (AAPL, MSFT, CRM), defensive (MRK, PG, WMT), and income-oriented (AMGN, UNH, V) names to reduce overall portfolio variance."
L3,1,"The portfolio was constructed using constrained mean-variance optimization with lambda=0.5, maximizing the objective mu^T w - (0.25) w^T Sigma w subject to non-negativity and full-investment constraints via quadratic programming. Assets with negative or very low expected returns (MMM, VZ, INTC, DIS, JNJ) received zero weight, while high-return assets with relatively contained variance (AAPL, MSFT) received the largest allocations. Diversification was maintained by spreading remaining weight across moderate-return, lower-covariance assets such as MRK, WMT, AMGN, UNH, and CRM to reduce overall portfolio variance."
L0,2,"The portfolio was constructed using a near-equal-weight approach across all 30 stocks to maximize diversification and reduce concentration risk, which suits a risk-averse investor. Slightly higher weights were assigned to large-cap, financially stable companies with strong dividend histories such as AAPL, MSFT, JNJ, JPM, KO, PG, WMT, UNH, and V, as these tend to exhibit lower volatility and more consistent returns. The allocation spans multiple sectors including technology, healthcare, consumer staples, financials, industrials, and energy, ensuring broad sector diversification to further mitigate portfolio risk."
L1,2,"The portfolio was constructed by focusing on stocks with higher expected returns (AAPL, MSFT, AMZN, CRM) while balancing risk through diversification into lower-volatility, lower-correlation assets (MRK, AMGN, PG, JNJ, WMT). Stocks with negative or near-zero expected returns (MMM, VZ, INTC) were excluded entirely, and high-variance stocks with modest returns (BA, DOW, AXP) were also omitted. The resulting allocation spans technology, healthcare, consumer staples, and financials to reduce concentration risk while targeting a favorable return-to-risk tradeoff."
