level,rep,comment
L0,0,"The portfolio is constructed by allocating higher weights to large, stable, and diversified companies across sectors, with slightly lower weights to more volatile or cyclical stocks, ensuring broad diversification and reduced risk. No short selling is used, and all weights are non-negative and sum to 1. This approach aims to balance risk and return for a risk-averse investor."
L1,0,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The solution emphasizes stocks with high expected returns and low correlations, while maintaining diversification across sectors. Weights are allocated to minimize overall portfolio volatility while achieving a balanced risk-return profile."
L2,0,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus 0.5 times variance, subject to no short selling and full investment constraints. The optimizer allocated weights to stocks with the highest risk-adjusted returns and lowest covariances, resulting in a concentrated allocation to a subset of the universe. This approach reflects the investor's risk aversion and the requirement for non-negative, fully invested weights."
L3,0,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus penalized variance, subject to no short selling and full investment. Only stocks with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation to a subset of the 30 stocks. The solution was obtained using quadratic programming to handle the constraints."
L0,1,"The portfolio allocates higher weights to large, stable companies in technology, healthcare, and consumer staples for lower volatility, while maintaining diversification across all sectors by assigning smaller weights to more cyclical or volatile stocks. No single stock exceeds 6%, and all weights are non-negative and sum to 1. This approach balances risk and diversification for a risk-averse investor."
L1,1,"This portfolio was constructed using mean-variance optimization, maximizing expected return for a risk-averse investor while minimizing volatility and ensuring diversification by limiting allocation to the highest-return, lowest-correlation stocks. No short selling was allowed and weights sum to 1. The result is a concentrated allocation to AAPL, MSFT, DIS, and AMZN, which offer the best risk-return tradeoff given the provided data."
L2,1,"The portfolio was constructed using mean-variance optimization with lambda = 0.5, maximizing expected return minus half the variance, subject to non-negative weights that sum to 1. Only assets with the best risk-adjusted returns and low correlations were selected, resulting in a concentrated allocation to AAPL, MSFT, CRM, AMZN, and DIS. This approach balances risk aversion and diversification, but the optimizer favored a few high-return, moderate-risk stocks."
L3,1,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus half the risk, subject to no short-selling and full investment constraints. Only stocks with the highest risk-adjusted returns and favorable covariances received positive weights, resulting in a concentrated allocation. Numerical quadratic programming was used to enforce the constraints and find the optimal solution."
L0,2,"The portfolio was constructed by assigning higher weights to large, stable, and defensive companies across sectors, while ensuring broad diversification by spreading allocations among all 30 stocks. No single stock dominates, and all weights are non-negative and sum to 1, aligning with the risk-averse investor’s preference. This approach aims to reduce risk through sector and company diversification."
L1,2,"This portfolio was constructed using mean-variance optimization to maximize expected return for a risk-averse investor, subject to no short selling and full investment constraints. The optimizer allocated weights to stocks with higher expected returns and lower correlations, resulting in a diversified portfolio concentrated in high-return, lower-risk names. Stocks with negative or very low expected returns and/or high risk were excluded."
L2,2,"The portfolio was constructed using mean-variance optimization with λ=0.5, maximizing expected return minus half the variance, subject to no short selling and full investment constraints. The optimizer allocated weights primarily to stocks with the highest risk-adjusted returns and lowest covariances, resulting in a concentrated allocation to MSFT, AAPL, V, and AMZN. This reflects the risk-averse preference while still seeking higher expected returns."
L3,2,"The portfolio was constructed using mean-variance optimization with a risk aversion parameter lambda=0.5, maximizing expected return minus half the portfolio variance, subject to no short selling and full investment. The solution was obtained via quadratic programming, resulting in a concentrated allocation to stocks with high expected returns and favorable risk-adjusted profiles. Diversification is limited by the non-negativity constraint and the dominance of a few high-return, lower-covariance stocks."
